id,availability,condition,title,description,link,image_link,price,gtin,mpn,brand,item_group_id,google_product_category,color,material,pattern
"1000155503_conf","in stock","new","CRUISER CHROMANTIC GLOBE","Dimensiones: 33' x 9.5' x 22.25'WB¬†6.0' Tensor Alloy trucks¬†Ruedas de 62mm 83aAlmohadilla trasera de EVAPeso Aproximado: kg","https://rusty.cl/1000155503-cruiser-chromantic-globe-7hs253-ut21.html","https://rusty.cl/media/catalog/product/1/0/10525055_blkpinabam_1024x1024_2x.jpg","149990.00 CLP","","","Rusty","","","","",""
"1000155505_conf","in stock","new","CRUISER CHROMANTIC TIGER GLOBE","Dimensiones: 33' x 9.5' x 22.25' WBAlmohadilla trasera de EVARuedas de 62mm 78aAgarre de transmisión claroPeso Aproximado: kg","https://rusty.cl/1000155505-cruiser-chromantic-tiger-globe-7hs254-ut21.html","https://rusty.cl/media/catalog/product/1/0/10525055_tigcamo_1024x1024_2x.jpg","149990.00 CLP","","","Rusty","","","","",""
"1000155509_conf","in stock","new","LONGBOARD PINNER CLASSIC GLOBE","Dimensiones: 40' x 9' x 26.75'Detalles de tinta en relieveCinta de agarre negra con estampadoRuedas: 65mm 78a","https://rusty.cl/1000155509-longboard-pinner-classic-globe-7hs258-ut21.html","https://rusty.cl/media/catalog/product/1/0/10525187_halfcut_1024x1024_2x_1.jpg","169990.00 CLP","","","Rusty","","","","",""
"1000155531_conf","in stock","new","CRUISER OUTSIDER BLACK GLOBE","Dimensiones: 8.25' x 27.125' x 14.5' WB¬†5.25' Tensor alloy trucksRuedas de 60mm 80a Peso Aproximado: kg","https://rusty.cl/1000155531-cruiser-outsider-black-globe-7hs269-ut21.html","https://rusty.cl/media/catalog/product/1/0/100015553112.jpg","149990.00 CLP","","","Rusty","","","","",""
"1000155533_conf","in stock","new","CRUISER OUTSIDER HONEY GLOBE","Dimensiones: 8.25' x 27.125' x 14.25'WB¬†5.25' Tensor Alloy trucksRuedas de 60mm 80aPeso Aproximado: kg","https://rusty.cl/1000155533-cruiser-outsider-honey-globe-7hs270-ut21.html","https://rusty.cl/media/catalog/product/1/0/10525320_hneymoon_1024x1024_2x.jpg","189990.00 CLP","","","Rusty","","","","",""
"1000149585Red","in stock","new","JOCKEY R SIGNAL","Estilo de Color: LisoComposicion: 80% Acrílico / 20% LanaTipo Jockey: SnapbackEstilo: 7AJ511","https://rusty.cl/jockey-r-signal-1000149585red.html","https://rusty.cl/media/catalog/product/7/a/7aj511-mv22lisored_1.jpg","16990.00 CLP","","","Rusty","","","Rojo","",""
"1000153581Alt 1","in stock","new","CRUISER GLOBE SUN CITY COCONUT 30'","Composición Tabla: Coco (Construido a partir de las fibras de coco naturales. Nos permite usar menos madera de arce para una plataforma ecológica que deja una huella de carbono más pequeña. Los cocos están fácilmente disponibles, la cáscara requiere un procesamiento mínimo y provienen de cultivos autosuficientes)Detalles: El Sun City viene en tamaño 30' x 9.0' x 18.5 ' wb. Cruiser de cola de golondrina inspirado en el surf. Es un cóncavo suave con cola de apoyo. Cuenta con ruedas Conical Cruiser de 62 mm 78a hechas de uretano resistente a la abrasión. Son más rápidas y ofrecen un excelente grip.Medidas Tabla: 30' x 9' x 18.5'WB (Largo x Ancho x Distancia entre trucks)Rodamientos: Globe Abec 7 (menos esfuerzo, más velocidad)Trucks: Tensor Alloy 5.25'Garantía: La tabla está garantizada contra fallas de fabricación y roturas por uso regular durante 90 días a partir del comprobante de compra. Los Trucks Slant y Tensor están garantizados contra fallas de fabricación y roturas por uso regular durante la vida útil del producto.Estilo de Color: LisoPeso Aproximado: 2.238 kgEstilo: 7HS123-MT21","https://rusty.cl/accesorios-skate-cruiser-y-longboard-cruiser-globe-sun-city-coconut-30-multicolor-1000153581alt-1.html","https://rusty.cl/media/catalog/product/7/h/7hs123-mt21-1_ok.jpg","169990.00 CLP","","","Rusty","","","","",""
"1000176494Alt 1","in stock","new","SKATE COMPLETO GLOBE G0 BLACK SERIF 8.0'","Composición Tabla: Madera de arce de 7 capas con resina (La resina epoxi se utiliza para presionar todas nuestras tablas, lo que las hace más livianas, más fuertes y más duraderas que las tablas normales a base de agua)CaracterísticasMedidas Tabla: 31.63' x 8.0' x 14'WB (Largo x Ancho x Distancia entre trucks)Rodamientos: Globe Abec 7 (menos esfuerzo, más velocidad)Ruedas: Globe 52 mm 99a (Hechas de uretano de alto rebote de Globe; resistentes a la abrasión, más suaves, más rápidas y brindan un excelente agarre.)Trucks: Slant 5.25'Garantía: La tabla está garantizada contra fallas de fabricación y roturas por uso regular durante 90 días a partir del comprobante de compra. Los Trucks Slant y Tensor están garantizados contra fallas de fabricación y roturas por uso regular durante la vida útil del producto.Estilo de Color: LisoPeso Aproximado: 2.238 kgEstilo: 7HS141-MT21","https://rusty.cl/accesorios-skate-skateboard-skate-completo-globe-g0-black-serif-80-blanco-1000176494alt-1.html","https://rusty.cl/media/catalog/product/7/h/7hs141-mt21-1_ok.jpg","79990.00 CLP","","","Rusty","","","","",""
"1000158056Blue","in stock","new","Skate General Tie Dye BLUE 7,875''","Estilo de Color: Full PrintComposicion: Camiones correderos, casquillos 92a, percha sin tapa con impresión de almohadilla + base negraAbec 1 rodamientos de acero cromadoRuedas de 2.047 in y 100 A.Estilo: 7HS336-UTAncho de la plataforma: 7,875''","https://rusty.cl/skate-skate-skateboard-skate-general-tie-dye-blue-1000118093alt1.html","https://rusty.cl/media/catalog/product/7/h/7hs153-mt21_1.jpg","69990.00 CLP","","","Rusty","","","","",""
"1000173612Alt1","in stock","new","LENTES DE SOL DRAGON REMIX LL ION","Material del Lente: PolicarbonatoEstilo de Color: LisoInspiración de diseñoEl remix está construido para hacer una declaración. Una ligera variación en nuestro marco más popular, the jam, the remix utiliza un diseño progresivo que cuenta con un lente de escudo negro para una protección 100% UV y un aspecto retrofuturista. a pesar de la gran cobertura, el remix entrega una sensación ligera y una construcción duradera para los que están en movimiento.Características:Resina Vegetal moldeada por inyecciónLente con escudo de policarbonato múltipleBisagra de acero inoxidable de 5 bisagrasProtección 100% uvPeso Aproximado: 0.120 kgsEstilo: 5HG248-UT22","https://rusty.cl/accesorios-anteojos-remix-ll-ion-matte-black-1000173612alt1.html","https://rusty.cl/media/catalog/product/5/h/5hg248-ut22_1.jpg","109990.00 CLP","","","Rusty","","","","",""
